Logged,hostName,clientIp,clientPort,dhost,remarks,src,peerHost,ruleName,shost,dst,dOSName,clientFlag,act,app,serverMAC,deviceDirection
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,10.102.82.213,14442,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
27/09/2023 09:50,vultrusercontent.com,10.9.8.7,13452,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,10.102.82.213,14442,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
27/09/2023 09:50,vultrusercontent.com,10.9.8.7,13452,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,10.9.8.7,46076,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,10.9.8.7,46076,,,,,,,,,,,DNS,b4-0c-25-e0-40-4a,
27/09/2023 09:50,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,dns.umbrella.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,dns.umbrella.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 09:50,,,,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,192.168.2.81,"[""45.76.69.64""]",,src,"[""not blocked""]",TCP,,outbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
27/09/2023 09:50,vultrusercontent.com,,,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,dns.umbrella.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,dns.umbrella.com,"[""152.114.57.124""]",,dst,"[""not blocked""]",DNS Response,,inbound
27/09/2023 09:50,45.76.69.64.vultrusercontent.com,,,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,10.102.123.24,"[""10.102.82.213""]",,dst,"[""not blocked""]",DNS Response,,outbound
26/09/2023 14:39,download.webmin.com,,,192.168.2.81,"[""IP address: 104.207.151.13""]","[""104.207.151.13""]",104.207.151.13.vultrusercontent.com,Lets Encrypt Certificate - HTTPS (Response),104.207.151.13.vultrusercontent.com,"[""192.168.2.81""]",,dst,"[""not blocked""]",TLS,,inbound
26/09/2023 11:35,,,,,,,,,,,,,,,,
25/09/2023 08:43,45.76.69.64.vultrusercontent.com,10.102.82.213,49770,,,,,,,,,,,DNS,00-50-56-86-4a-f9,
