Logged,dhost,remarks,src,peerHost,ruleName,dst,app,deviceDirection,hostName
17/09/2023 00:21,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.222.222""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
17/09/2023 00:21,149.248.51.128.vultrusercontent.com,"[""Domain: smtp.northgate-ispublicservices.com""]","[""152.114.57.24""]",152.114.57.24,Failed host DNS A record query of a non-trusted domain mail exchanger,"[""149.248.51.128""]",DNS Response,inbound,smtp.northgate-ispublicservices.com
17/09/2023 00:21,149.248.51.128.vultrusercontent.com,"[""Domain: smtp.northgate-ispublicservices.com""]","[""152.114.57.24""]",152.114.57.24,Failed host DNS A record query of a non-trusted domain mail exchanger,"[""149.248.51.128""]",DNS Response,inbound,smtp.northgate-ispublicservices.com
16/09/2023 12:16,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
16/09/2023 12:16,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
16/09/2023 12:16,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
16/09/2023 12:16,uk1-v-dc02.global.internal,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",10.102.123.24,DNS response resolves to dead IP address,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
16/09/2023 12:16,152.114.57.124,"[""Domain: vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,vultrusercontent.com
16/09/2023 12:16,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
16/09/2023 12:16,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
16/09/2023 12:16,uk1-v-dc02.global.internal,"[""IP address: 10.102.82.213"", ""Domain: 45.76.69.64.vultrusercontent.com""]","[""10.102.123.24""]",uk1-v-dc02.global.internal,Host DNS query to a non-trusted DNS server,"[""10.102.82.213""]",DNS Response,outbound,45.76.69.64.vultrusercontent.com
16/09/2023 12:16,152.114.57.124,"[""Domain: 45.76.69.64.vultrusercontent.com""]","[""208.67.220.220""]",dns.umbrella.com,DNS response resolves to dead IP address,"[""152.114.57.124""]",DNS Response,inbound,45.76.69.64.vultrusercontent.com
16/09/2023 05:27,149.28.72.72.vultrusercontent.com,"[""Domain: lancspublicengagementtrn.northgateps.com""]","[""152.114.57.24""]",152.114.57.24,Host DNS Mx record query of a non-trusted domain,"[""149.28.72.72""]",DNS Response,inbound,lancspublicengagementtrn.northgateps.com
16/09/2023 05:27,149.28.72.72.vultrusercontent.com,"[""Domain: lancspublicengagementtrn.northgateps.com""]","[""152.114.57.24""]",152.114.57.24,Host DNS Mx record query of a non-trusted domain,"[""149.28.72.72""]",DNS Response,inbound,lancspublicengagementtrn.northgateps.com
15/09/2023 03:27,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
14/09/2023 03:37,192.168.2.81,"[""IP address: 104.207.151.13""]","[""104.207.151.13""]",104.207.151.13.vultrusercontent.com,Lets Encrypt Certificate - HTTPS (Response),"[""192.168.2.81""]",TLS,inbound,download.webmin.com
13/09/2023 05:37,45.76.69.64.vultrusercontent.com,"[""IP address: 45.76.69.64""]","[""192.168.2.81""]",45.76.69.64.vultrusercontent.com,CVE-2014-0224 - Possible CCS Injection - TLS,"[""45.76.69.64""]",TCP,outbound,
