Logged,dhost,src,peerHost,ruleName,act,app,deviceDirection,deviceMacAddress,hostName,potentialRisk,dst,remarks
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:05:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:41,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:04:31,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:04:21,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:04:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:07:20,,,,MA-01-002,,,,,,,,
2023-09-21 16:03:37,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:03:35,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:03:34,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,news.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: news.google.com""]"
2023-09-21 16:03:34,uk2-v-dc01.global.internal,"[""10.102.123.24""]",uk2-v-dc01.global.internal,Host DNS query to a non-trusted DNS server,"[""not blocked""]",DNS Response,outbound,00:50:56:87:ae:f7,news.google.com,1,"[""10.102.80.11""]","[""IP address: 10.102.80.11"", ""Domain: news.google.com""]"
2023-09-21 16:03:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:03:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:03:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:03:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:02:51,,,,Lockdown,"[""Assessment (Allow)""]",,,,,,,
2023-09-21 16:02:40,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:04:59,,,,MA-01-002,,,,,,,,
2023-09-21 16:02:31,,,,Google Drive v2,"[""Allowed""]",,,,,,,
2023-09-21 16:02:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:02:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:02:00,,,,,"[""Block""]",,,,,,,
2023-09-21 16:01:34,,,,Google Drive v2,"[""Allowed""]",,,,,,,
